# Program:featureCounts v2.0.4; Command:"/media/secondary/apps/subread-2.0.4-Linux-x86_64/bin/featureCounts" "-a" "../1_refs/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-s" "2" "-T" "6" "-p" "-o" "allSamples.featureCounts.txt" "RNA_S6614Nr10.bam" "RNA_S6614Nr11.bam" "RNA_S6614Nr12.bam" "RNA_S6614Nr13.bam" "RNA_S6614Nr14.bam" "RNA_S6614Nr15.bam" "RNA_S6614Nr16.bam" "RNA_S6614Nr17.bam" "RNA_S6614Nr18.bam" "RNA_S6614Nr1.bam" "RNA_S6614Nr2.bam" "RNA_S6614Nr3.bam" "RNA_S6614Nr4.bam" "RNA_S6614Nr5.bam" "RNA_S6614Nr6.bam" "RNA_S6614Nr7.bam" "RNA_S6614Nr8.bam" "RNA_S6614Nr9.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_S6614Nr10.bam	RNA_S6614Nr11.bam	RNA_S6614Nr12.bam	RNA_S6614Nr13.bam	RNA_S6614Nr14.bam	RNA_S6614Nr15.bam	RNA_S6614Nr16.bam	RNA_S6614Nr17.bam	RNA_S6614Nr18.bam	RNA_S6614Nr1.bam	RNA_S6614Nr2.bam	RNA_S6614Nr3.bam	RNA_S6614Nr4.bam	RNA_S6614Nr5.bam	RNA_S6614Nr6.bam	RNA_S6614Nr7.bam	RNA_S6614Nr8.bam	RNA_S6614Nr9.bam
YJL011C	X	414285	414770	-	486	3289	5440	5726	3920	4560	7033	5959	3685	6160	3997	2960	4874	4372	4252	2813	5603	4431	4454
YJR060W	X	548759	549814	+	1056	400	751	630	771	358	652	665	812	796	1360	759	2695	932	192	1094	816	1307	793
YJR119C	X	644304	646490	-	2187	251	270	190	398	260	301	281	339	373	560	673	887	530	306	395	409	734	286
YJR092W	X	598735	603078	+	4344	1295	1440	1584	1378	1459	2059	1821	2633	2685	2183	2072	5508	2669	1002	2230	1888	2989	2022
YJL051W	X	339787	342255	+	2469	815	1574	1715	1630	835	1518	1488	1773	2200	1556	1590	3528	1324	444	2048	1653	2416	2119
YJR071W	X	570405	570773	+	369	2	8	2	9	2	4	15	6	5	4	12	6	7	6	2	8	5	5
YJR115W	X	639942	640451	+	510	835	603	334	262	312	194	113	197	108	1329	509	1748	352	121	812	211	1142	266
YJL010C	X	417562	419562	-	2001	170	422	262	715	191	311	508	531	336	691	308	962	732	155	343	399	511	402
YJL084C	X	274862	278002	-	3141	909	1149	722	1474	806	875	944	1333	914	1458	1456	3242	1566	469	1426	1066	1900	942
YJR030C	X	483959	486196	-	2238	418	602	667	669	327	691	509	638	766	888	485	1889	804	190	790	642	816	724
YJL119C	X	191572	191895	-	324	32	44	34	67	27	39	62	71	27	67	75	162	80	28	75	69	94	39
YJL221C	X	16767	18536	-	1770	0	0	0	2	1	0	0	1	2	1	2	4	2	0	0	2	2	0
YJR140C	X	690750	695696	-	4947	627	917	531	982	617	568	720	1013	676	982	957	1821	1126	358	736	932	1138	593
YJR161C	X	742848	743999	-	1152	463	784	469	816	455	522	615	838	462	749	1169	1186	615	410	872	823	1557	568
YJL136C	X;X	156550;157250	156789;157273	-;-	264	15479	28806	22591	27666	16854	28312	28498	22555	22393	35395	23095	66680	43366	16544	28707	29248	41997	26664
tR(ACG)J	X	233939	234011	+	73	1	6	5	3	8	7	7	8	10	15	9	2	5	4	3	3	4	10
YJL146W	X	143292	144701	+	1410	542	788	558	947	561	652	607	901	636	1341	1198	2370	1210	462	1239	749	1506	826
YJL060W	X	323386	324720	+	1335	1241	2155	1841	2250	1127	2215	1724	2501	2413	3538	1960	9388	4064	1025	3027	2606	3359	2706
tW(CCA)J	X;X	415931;416001	415966;416036	-;-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
YJL117W	X	192531	193466	+	936	1746	3422	2201	3079	1925	2303	2249	2897	2333	2743	2904	5455	3118	1432	2938	2670	4659	2366
YJL149W	X	137379	139370	+	1992	620	856	651	968	641	730	536	794	627	909	801	2195	838	400	1016	595	1139	523
YJR063W	X	555195	555572	+	378	225	613	526	1225	212	622	781	792	575	961	388	1083	1091	264	483	633	804	702
YJL067W	X	314084	314434	+	351	0	2	0	0	0	2	2	1	4	23	9	53	4	2	10	6	8	0
YJL164C	X	109966	111159	-	1194	2546	2582	1756	1492	2486	1981	1013	2120	1919	3590	3647	6324	2837	1318	3353	1799	4155	1990
YJL223C	X	8776	9138	-	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL079C	X	289875	290774	-	900	1475	3521	2127	4914	1608	2885	3546	5808	3753	7759	10233	14237	6793	3542	6880	5294	15405	5216
snR3	X	663749	663942	+	194	78	26	22	21	69	24	79	38	57	549	106	329	33	48	180	73	53	52
YJL156W-A	X	126604	126825	+	222	4	5	8	3	2	3	7	9	7	10	10	34	8	3	12	5	15	14
YJL106W	X	221390	223327	+	1938	565	763	573	658	856	639	500	676	633	548	793	1299	711	748	636	485	865	340
YJL171C	X	99704	100894	-	1191	5869	11622	10253	8216	4772	8574	4362	6473	5171	3877	6482	9195	5927	3128	6058	5186	8923	3879
YJL058C	X	326242	327873	-	1632	457	573	355	559	588	407	543	501	375	556	642	986	770	406	519	552	583	355
tL(UAG)J	X;X	617919;617976	617956;618019	+;+	82	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0
YJL132W	X	161914	164166	+	2253	943	1254	1152	956	1022	975	656	990	964	1189	1715	2056	953	607	1438	888	1775	1167
YJL172W	X	97737	99467	+	1731	3345	7336	6270	5643	3024	5199	2927	4769	4112	4074	4506	7947	4061	1806	5737	3712	6832	4524
YJR114W	X	638659	639051	+	393	4	8	4	4	1	0	2	3	2	6	4	8	5	2	3	0	2	6
YJL093C	X	254737	256812	-	2076	1406	2040	1638	1919	1216	1334	1608	2013	1469	1934	2057	3300	1887	731	1974	1808	2551	1418
YJL163C	X	111666	113333	-	1668	821	869	611	437	666	495	311	687	506	907	1333	1587	556	384	1453	479	1436	627
YJR153W	X	722815	723900	+	1086	4	0	2	0	0	0	1	0	0	2	10	12	2	10	13	2	10	2
YJL179W	X	88787	89116	+	330	9833	11266	8880	5604	16471	12034	9709	6023	12344	6492	8202	10801	9309	11965	5310	9119	7495	6917
YJR080C	X	580432	581616	-	1185	1444	1808	1180	1264	1287	1343	1045	1273	1084	2150	1897	3554	2058	990	1888	1185	2328	1202
YJL037W	X	376662	377336	+	675	124	213	122	161	295	141	101	173	112	104	269	104	100	285	95	124	198	99
YJL104W	X	227327	227776	+	450	811	1171	861	1265	813	1092	1028	1150	958	1683	1484	3099	1672	663	1474	1131	2203	1234
YJL050W	X	342522	345743	+	3222	428	562	484	993	310	705	973	694	924	1270	403	1790	2076	424	673	905	823	640
YJL002C	X	433221	434651	-	1431	6023	12747	10663	11085	6584	10567	9850	12968	11172	9310	11289	19747	12399	5665	10912	11298	16284	10723
YJR084W	X	583733	585004	+	1272	778	988	660	1124	635	626	710	971	653	1326	1436	2555	1112	531	1310	855	2045	917
YJL220W	X	18243	18695	+	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJR034W	X	496683	497009	+	327	999	1058	728	683	1202	1019	776	824	839	1114	1620	2479	1271	1125	1059	894	2163	816
YJR019C	X	467232	468281	-	1050	388	585	486	652	313	407	287	501	271	739	604	1643	717	181	812	419	977	495
YJR093C	X	603220	604203	-	984	433	785	519	1021	485	491	591	848	470	1181	1093	2054	865	358	1079	714	1581	692
YJL201W	X	54379	56178	+	1800	1130	1490	1061	2081	1129	1320	1388	1652	1326	2119	2333	3649	1809	730	1584	1634	2515	1376
YJL161W	X	117245	117787	+	543	998	1035	540	427	1016	588	186	508	361	705	1377	1684	497	573	1146	270	1279	459
YJR021C	X;X	468555;469264	469183;469579	-;-	945	1048	1091	979	1822	880	891	1443	1744	927	1916	2704	3185	1489	489	1808	1722	3108	1056
YJL070C	X	307971	310637	-	2667	1076	1245	838	901	932	868	699	1219	968	1491	1674	2930	1339	683	1362	991	1700	943
snR128	X	139566	139691	-	126	97	104	116	76	155	85	234	214	204	449	226	326	281	145	172	293	299	153
YJL029C	X	388385	390853	-	2469	995	1282	1012	1105	1148	1083	1036	1352	1234	1647	1375	3445	1727	673	1233	1338	1877	1081
YJR010W	X	456239	457774	+	1536	2368	4705	4868	3035	1792	6702	2310	4957	7121	8900	2619	39509	9384	1797	9691	5140	10688	10196
YJR151W-A	X	717580	717630	+	51	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
tD(GUC)J3	X	374424	374495	-	72	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0
YJR144W	X	700882	701691	+	810	1467	2490	1871	2580	1743	1928	1767	1852	1564	2332	1997	3710	2589	1076	1879	1849	3008	1683
YJL073W	X	303181	305118	+	1938	591	1618	1331	1344	629	1053	898	1240	928	1034	909	1622	839	322	1046	1064	1325	880
YJL022W	X	398109	398417	+	309	16	22	13	9	34	8	15	15	17	21	29	24	17	12	28	11	22	13
YJR038C	X	503710	504072	-	363	9	7	8	8	6	4	2	8	6	9	5	10	5	2	12	9	5	0
snR37	X	228094	228479	-	386	1551	1061	564	932	1270	1041	1295	960	981	3686	1144	3484	834	1058	1552	1400	763	714
YJR094W-A	X;X	608305;608582	608306;608858	+;+	279	24677	35010	34639	32013	32077	41103	48326	25446	37807	30442	23086	40379	39065	26404	22187	37952	31964	23465
YJL052W	X	338271	339269	+	999	97909	159365	28014	219412	94426	31645	52181	131296	23832	60212	200755	179085	101224	80199	95983	68555	281563	28601
YJR139C	X	689445	690524	-	1080	8671	13273	9216	10517	9254	12023	7997	10311	11089	14817	11489	37405	17821	6189	16997	10899	19205	12720
YJR158W	X	732440	734143	+	1704	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
YJL089W	X	265926	268415	+	2490	360	393	207	809	516	229	257	517	278	293	500	1122	379	258	618	326	428	237
YJL077W-B	X	294047	294145	+	99	88	96	45	136	66	79	92	115	98	110	184	244	89	100	133	124	221	102
YJL016W	X	405588	407273	+	1686	2634	3202	2736	2611	3351	2636	1783	2426	2545	1922	2734	4614	3186	1849	1784	1977	2715	1546
YJL127W-A	X	180194	180310	+	117	5	2	4	4	4	0	8	2	2	0	4	4	0	5	9	4	2	0
YJR007W	X	451020	451934	+	915	1649	3023	2157	3521	1512	2673	2588	2672	2332	4901	2935	7076	4491	1165	3506	2632	3845	2988
tA(AGC)J	X	197313	197385	-	73	2	0	2	0	0	1	0	4	0	2	0	0	0	0	0	1	4	0
YJR096W	X	611195	612043	+	849	1137	1313	629	1119	942	670	557	962	663	1162	2027	2726	1074	776	1401	723	2009	694
YJL032W	X	386348	386662	+	315	2	5	3	3	16	1	4	4	0	1	4	3	2	7	2	3	0	2
YJR065C	X	557809	559158	-	1350	4440	8170	5309	8016	4414	4995	4549	6784	4666	8844	9073	17626	7981	3088	8606	5614	12689	5628
YJL019W	X	402897	404945	+	2049	447	899	762	1032	420	694	847	1048	768	952	793	1320	776	196	785	896	1205	581
YJR082C	X	581914	582255	-	342	3047	2175	1515	1726	5022	2576	2502	1359	2739	1626	1781	4721	4649	4522	1339	1421	2388	1309
YJL181W	X	85660	87495	+	1836	453	479	526	720	429	577	510	560	607	925	696	1634	778	309	790	499	958	590
YJR095W	X	609773	610741	+	969	101	98	57	78	164	41	50	40	33	23	87	52	13	111	142	40	68	26
YJR086W	X	586068	586400	+	333	16622	12436	10137	4820	26823	15685	10814	8335	17083	10130	15048	16087	11813	19241	9200	10768	13209	9773
YJL077C	X	294666	295061	-	396	33	21	20	54	29	16	72	56	50	78	64	161	100	32	103	60	119	37
tR(UCU)J2	X	374506	374577	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJR006W	X	449202	450665	+	1464	815	1509	1125	1478	837	1132	1052	1335	1112	1658	1267	3307	1796	585	1588	1279	2000	1168
YJR072C	X	570967	572124	-	1158	597	1050	754	1563	466	788	1188	1086	839	1768	993	2723	1974	364	1149	1355	1709	918
YJL118W	X	191639	192298	+	660	67	231	239	405	74	196	304	260	203	366	233	502	422	49	265	291	376	199
YJL184W	X	83448	83819	+	372	435	914	614	1133	474	698	895	890	685	1068	974	2354	1317	404	921	898	1944	773
YJR133W	X	672991	673620	+	630	511	882	591	646	409	592	351	567	520	851	1222	2432	915	486	1163	565	1575	809
YJR025C	X	471138	471671	-	534	3139	3667	2906	5347	6800	4468	5558	5784	6117	5410	8655	13671	8173	8687	5281	5414	12130	4304
YJR018W	X	466786	467148	+	363	10	18	14	18	21	23	23	16	21	68	34	76	16	27	24	20	21	20
YJL095W	X	247255	251691	+	4437	520	726	500	999	520	505	686	1090	746	778	998	1467	783	247	618	825	1238	593
YJR147W	X	704196	705272	+	1077	147	324	304	814	108	351	682	587	371	893	396	1214	1043	129	490	695	797	448
YJL043W	X	360130	360903	+	774	6	17	3	23	2	24	22	15	6	13	16	68	22	7	37	22	29	21
YJL107C	X	218853	220016	-	1164	186	237	551	215	96	463	144	99	318	321	118	452	74	38	303	127	134	108
YJL012C	X	411234	413399	-	2166	1297	2345	1263	2583	1212	1328	1539	2282	1600	3068	2836	5917	2933	994	2842	2274	4292	2071
YJR121W	X	647607	649142	+	1536	12294	16328	8842	15417	8916	9657	10691	14237	9766	20245	19643	41943	22006	7640	18779	14731	29186	11587
YJL145W	X	145160	146044	+	885	468	856	655	1127	332	922	897	967	798	1521	944	2749	1842	389	1111	1042	1515	953
YJL153C	X	134332	135933	-	1602	786	3158	2651	907	834	1679	242	499	641	1111	2540	6569	1389	1033	3790	399	1959	2055
YJL088W	X	268799	269815	+	1017	1595	2409	2849	3176	2228	4657	4478	5011	7880	12775	3170	18335	8200	1427	7890	5183	7197	8525
YJR064W	X	555914	557602	+	1689	2439	3962	2991	4419	2871	3297	4254	4081	3670	4875	4040	8345	6564	2466	3855	4388	5772	3221
YJL137C	X	154985	156127	-	1143	352	498	405	468	340	451	533	533	389	1175	703	1616	880	217	800	715	1166	560
YJL074C	X	299157	302849	-	3693	396	442	324	488	353	566	355	444	502	536	257	1102	714	252	350	331	478	369
YJL111W	X	207877	209529	+	1653	1838	3430	2180	3951	1930	2155	2711	3697	2497	3774	3928	6745	4169	1594	2994	3290	5957	2468
YJL158C	X	122265	122948	-	684	11112	20071	18731	20640	7973	14978	10531	10493	8082	13604	10562	23129	16427	4464	10358	9514	14377	8109
YJR016C	X	464451	466208	-	1758	4359	8227	7864	19724	4741	10749	16454	14169	11481	26054	12085	47374	30066	4880	19066	20310	26717	14809
YJR099W	X	615576	616286	+	711	501	1027	633	976	642	644	552	871	619	1061	1167	2056	1051	477	1088	711	1602	684
YJL208C	X	40194	41183	-	990	283	509	408	667	265	493	459	470	409	600	340	1071	787	217	458	495	576	440
YJL048C	X	347447	348637	-	1191	1989	1991	1318	1414	2138	1386	1000	1126	1099	2016	2241	5375	1949	1393	2182	1113	2733	1313
YJL197W	X	63805	67569	+	3765	764	1376	829	1575	901	848	1185	1677	1070	1324	1559	2620	1736	643	1177	1430	1834	967
YJR074W	X	573095	573751	+	657	944	1805	1402	1392	1395	1715	967	1014	1266	2573	2010	5378	2698	1324	2634	1307	2850	1971
YJL127C-B	X	181551	181709	-	159	12469	12441	8224	8418	20625	9723	10696	7859	9387	6834	12945	12225	9271	18919	6448	9526	14275	5617
tD(GUC)J4	X	541508	541579	+	72	6	0	1	1	2	7	3	2	2	6	6	1	1	0	4	2	5	1
YJL020W-A	X	400981	401238	+	258	0	0	2	0	0	0	2	6	0	0	2	2	0	0	2	4	4	0
YJL078C	X	291336	293981	-	2646	551	1234	1399	1824	504	1712	1065	1199	1550	1432	1190	2501	1436	421	1273	1243	2029	1265
YJL165C	X	106894	109461	-	2568	2561	2996	2617	2905	1914	2743	2038	2858	2811	3492	3202	6969	2809	1097	3125	2411	4370	1917
YJR117W	X	642007	643368	+	1362	3231	7321	6447	5398	3005	5177	5094	6940	5829	6543	6882	15389	7083	2352	9893	7258	11181	6815
YJR057W	X	544062	544712	+	651	3543	2375	1651	1621	5119	2345	2368	1489	2496	1842	2246	4021	3628	3936	1421	1749	2817	1289
YJR160C	X	738008	739816	-	1809	11	18	40	20	12	26	15	17	51	37	37	117	39	12	54	13	46	33
YJL134W	X	158188	159417	+	1230	1344	3193	2205	3355	1732	2301	3114	3539	2620	2998	2927	5004	3806	1192	3187	3722	4726	2570
YJL219W	X	19497	21200	+	1704	7	31	3	14	14	14	13	14	14	19	44	29	22	13	26	18	51	21
YJL081C	X	283802	285271	-	1470	1031	1835	1153	2255	986	1288	1557	2151	1475	2369	2208	4681	2782	866	2051	2054	3447	1574
YJL054W	X	334265	335701	+	1437	760	1405	945	1871	701	864	1139	1589	875	2039	1587	3790	1965	575	1490	1268	2660	1157
YJR137C	X	678957	683285	-	4329	2210	4511	3835	4708	1991	6604	3770	7776	8251	7292	2802	22157	8760	1580	7389	5999	8903	8988
tK(CUU)J	X	414966	415038	+	73	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	5	4	0
YJL038C	X	375115	375774	-	660	18	25	12	14	48	9	17	9	10	9	24	37	17	77	22	11	18	13
YJR056C	X	541792	542502	-	711	447	840	568	805	485	546	485	662	551	1157	782	2540	892	299	1167	691	1197	887
YJL072C	X	305221	305862	-	642	1394	1652	1314	1755	2130	1719	2404	1623	1913	2373	1782	3326	2789	1345	1809	2187	2512	1517
YJR152W	X	719666	721297	+	1632	388	606	394	646	406	391	493	660	523	568	719	1081	716	248	633	783	1002	429
YJL142C	X	147819	148211	-	393	22	35	30	12	30	37	22	10	19	29	27	45	29	18	38	17	15	15
YJL192C	X	72710	73414	-	705	2381	6156	4826	5284	2661	3989	3959	5940	4480	4725	6233	8822	5105	2313	5237	4868	8380	5102
YJR001W	X	436802	438610	+	1809	3020	5856	5208	4715	2818	4387	4455	5656	4736	4796	5342	8817	5745	2243	5430	5896	7831	4442
YJR110W	X	633615	635681	+	2067	2231	2355	2159	2620	3198	2268	3192	2562	2784	2255	2501	4195	3865	1935	1802	2735	2706	1721
YJL190C	X	74910	75302	-	393	53114	57571	71395	45536	99101	113441	126314	39481	112598	74158	37880	155126	180477	127997	40079	85651	62617	59033
YJL182C	X	85435	85752	-	318	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0
YJL099W	X	239414	241654	+	2241	896	1019	573	966	991	569	715	792	661	1071	1221	2187	1057	722	1053	677	1410	498
YJL090C	X	262757	265051	-	2295	1242	1318	1090	1839	1728	1044	1371	1725	1106	1560	2440	2464	1682	888	1110	1556	2076	875
YJL055W	X	333357	334094	+	738	2934	4794	3173	4761	3192	3779	3347	4836	3767	6892	6555	14717	7575	3045	7277	4620	11100	5211
YJL085W	X	272827	274698	+	1872	964	1139	882	1070	1324	1161	897	1280	1208	1370	1567	2804	1801	968	1103	1228	1712	1108
YJR109C	X	629585	632941	-	3357	9108	8692	7428	26503	14502	11000	30852	18115	14964	27338	12298	34202	51309	8472	11643	27569	21382	11158
YJL167W	X	105014	106072	+	1059	5470	9151	6660	6735	4726	7053	5068	6628	6427	8321	8146	22019	12199	4358	8656	6935	12774	6776
tM(CAU)J3	X	517813	517884	-	72	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
YJL127C	X	182298	184220	-	1923	361	581	365	931	316	290	470	731	386	642	611	1146	663	182	544	507	907	456
YJR004C	X	442909	444861	-	1953	7832	17139	15042	10235	9651	19126	27394	29720	38424	31536	46903	83893	32929	22269	52717	45458	86325	47059
YJL036W	X	378825	380096	+	1272	2138	1913	1141	1671	1967	1301	1221	1885	1378	2603	2975	5681	2370	1345	2330	1646	3735	1358
YJL150W	X	137123	137425	+	303	17	21	16	7	15	32	11	18	14	20	7	8	9	14	20	8	3	7
YJL168C	X	102227	104428	-	2202	765	1303	1061	1539	1048	1313	1173	1652	1468	1912	1686	4005	1944	710	1814	1453	2177	1531
YJR036C	X	500713	503391	-	2679	621	587	417	536	644	428	476	708	596	1038	1105	2063	784	368	975	564	1103	455
YJL162C	X	113878	115629	-	1752	293	478	286	609	352	373	418	570	406	544	516	874	654	333	421	437	631	354
YJR106W	X	624838	627015	+	2178	571	1176	750	871	433	623	682	921	618	663	985	1088	597	301	879	721	1123	509
YJR043C	X	516461	517513	-	1053	312	738	386	840	349	512	476	687	463	687	520	1258	797	185	509	590	825	477
YJR066W	X	559416	566828	+	7413	1758	1374	799	1777	1289	1153	1443	2607	1472	1741	2455	4296	1659	637	1981	1401	2481	1352
YJL001W	X;X	435163;435344	435227;435926	+;+	648	11794	12063	6580	9305	13685	7490	7012	9063	7065	8698	14926	16922	12005	11279	9738	7374	16642	5895
YJR061W	X	550511	553318	+	2808	944	2197	1623	1480	705	893	546	860	635	281	761	747	313	304	504	421	843	394
YJL212C	X	33850	36249	-	2400	538	1071	897	915	502	1128	691	1640	1863	2244	1335	4345	2243	692	2223	1977	2649	2223
YJL024C	X;X	395931;396571	396493;396592	-;-	585	1321	1529	1018	1447	1862	1545	1352	1309	1394	1768	1759	3423	2180	1636	1577	1342	2315	1176
YJR125C	X	654737	655963	-	1227	2037	2720	1677	2169	1796	1643	1428	2322	1765	3257	3095	6777	2639	1044	3415	2051	4239	2095
YJR051W	X	529861	531366	+	1506	1634	3106	1894	2495	1788	1852	2244	3552	2205	2674	3880	5275	3311	1570	3375	2879	5604	2454
YJR112W-A	X;X	637790;637859	637809;638168	+;+	330	1370	1999	1406	2072	1818	1479	1882	1667	1350	1926	1998	3306	2637	1669	1801	1771	3021	1224
YJR050W	X	528697	529404	+	708	2376	1628	948	1569	3506	1539	1674	1206	1685	1860	1693	3700	2776	2095	1320	1189	2459	1117
YJR011C	X	458641	459426	-	786	19484	18797	10826	8556	29619	13787	12841	10376	12132	9337	18843	13478	9448	19492	11273	15231	15030	9303
YJR136C	X	677441	678706	-	1266	730	882	496	1000	885	511	865	776	770	922	952	1561	1329	833	628	845	1340	564
YJL200C	X	56444	58813	-	2370	988	1095	1380	3019	1155	1751	3322	1908	2195	3622	1363	5471	5975	1052	1843	2950	2547	1791
YJL188C	X	76202	76510	-	309	241	206	246	90	683	291	208	332	336	112	236	64	180	262	55	204	180	196
YJL170C	X	101150	101779	-	630	64	83	86	56	100	95	24	25	28	28	67	68	16	71	38	16	54	22
YJL129C	X	173599	177306	-	3708	2966	3451	4128	2797	3177	4347	3000	3384	4337	2905	3615	5185	4509	3004	2447	3452	4475	2993
YJR112W	X	637030	637635	+	606	421	586	628	1095	499	820	1279	759	826	1547	678	2499	1973	440	1017	1117	1491	840
YJR103W	X	620754	622490	+	1737	2060	3702	1841	5363	1925	1806	2426	3617	1751	4187	4729	10529	5878	1712	4943	3609	7755	2393
YJL044C	X	358300	359676	-	1377	1289	2215	1471	2617	1190	1535	1877	2471	1600	3265	2893	5620	2722	902	2935	2485	3964	2232
YJL157C	X	123836	126328	-	2493	434	1135	370	1572	731	665	1390	2585	1071	1669	2512	3924	1736	1088	1745	1638	4657	1229
YJR142W	X	697141	698169	+	1029	1509	2860	1130	2223	1449	1304	1119	2040	1019	2081	2989	4477	2324	1233	2015	1457	3685	1406
YJL034W	X	381327	383375	+	2049	54659	162147	143259	79182	58428	99175	83071	133672	105162	55805	59557	242476	103335	23591	173387	112712	148868	101361
YJL183W	X	84068	85336	+	1269	1301	3284	3395	3247	1602	3333	3447	3627	3672	3538	2937	5937	3872	1184	3449	3740	4952	3756
YJR031C	X	486586	490812	-	4227	869	973	854	1134	933	1085	1195	1195	1136	1501	903	2434	1940	436	950	1313	1301	909
YJL066C	X	314114	314872	-	759	927	1495	847	1148	860	729	632	994	682	1511	1772	3595	1270	623	1852	812	2448	958
YJR077C	X	577255	578190	-	936	2338	3690	2745	3760	1458	2897	2853	3220	2330	5972	3865	11387	5634	1359	5928	3457	6697	3649
YJL064W	X	315175	315570	+	396	2	4	3	2	2	0	2	3	2	8	6	37	0	4	13	2	5	1
YJL136W-A	X	156169	156252	+	84	3	0	3	0	5	5	2	6	5	0	6	2	0	2	2	0	3	1
YJR010C-A	X	458077	458361	-	285	1375	1884	1177	1698	1870	1592	1643	1470	1269	1579	1878	2837	2160	1652	1490	1576	2167	1150
YJR033C	X	492378	496451	-	4074	1145	1500	872	1362	1061	892	1086	1825	1074	1577	2086	3422	1742	641	1419	1430	2571	938
YJL068C	X	313016	313915	-	900	1200	2110	1437	1824	1146	1331	1009	1663	1265	2404	2495	5951	2357	1005	2703	1353	3982	1676
YJL112W	X	205305	207449	+	2145	988	1437	1111	1587	1016	1142	1297	1463	1261	2226	1562	4163	2077	688	1795	1505	2237	1338
YJL039C	X	368748	373799	-	5052	1391	1764	1233	2073	1283	1624	1696	2382	1808	2449	1992	4317	2607	881	1813	1978	2204	1593
YJL180C	X	87583	88560	-	978	550	882	525	735	493	633	541	778	470	914	1012	1507	821	345	820	699	1243	641
YJL147C	X	141419	142567	-	1149	570	764	410	759	607	502	644	645	543	915	931	1434	1028	427	785	648	1170	519
YJR116W	X	640825	641664	+	840	326	707	773	739	359	711	732	655	698	723	874	1913	768	333	999	822	1416	881
YJL025W	X	393967	395511	+	1545	72	257	215	445	119	229	236	283	261	262	176	451	283	121	196	223	305	252
YJR062C	X	553476	554849	-	1374	831	1299	717	1176	751	720	806	1331	806	1766	1826	3467	1302	519	1758	1107	2197	941
YJR090C	X	590872	594327	-	3456	1227	1575	1028	1733	1413	1133	1316	1854	1360	1898	2150	3797	1828	816	1975	1565	2423	1253
YJR035W	X	497355	500612	+	3258	570	720	524	889	678	562	831	948	635	1045	1156	2130	988	481	876	851	1380	609
YJL174W	X	95092	95922	+	831	4432	8897	7652	7264	4478	6919	5823	7089	6195	6217	7260	13405	6939	3065	7923	6787	12137	6011
YJL203W	X	53341	54183	+	843	644	718	502	861	839	638	844	907	654	1197	1318	2117	1164	613	875	746	1618	713
YJL014W	X	407558	409162	+	1605	2068	3303	2025	3262	1658	2217	2388	3036	2263	4221	3486	8437	5896	1977	3357	3073	5534	2454
YJL027C	X	391833	392249	-	417	2	7	1	12	6	7	0	6	2	8	10	13	10	8	8	3	8	0
YJR157W	X	730515	730877	+	363	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2
YJR149W	X	707160	708374	+	1215	175	231	151	197	154	144	92	165	179	155	240	503	139	101	228	157	333	161
YJR154W	X	725784	726824	+	1041	135	288	220	806	206	243	464	510	281	318	317	592	375	94	330	500	510	215
YJR075W	X	573981	575171	+	1191	3823	7673	6203	6648	4311	6088	6035	7062	6735	5409	6846	10790	7780	3701	6677	7534	9337	6208
YJR052W	X	532062	533759	+	1698	658	1024	672	1115	648	594	715	962	623	1010	1229	2265	1260	538	1048	882	1596	666
IRT1	X	605936	607424	-	1489	113	302	230	1046	331	384	560	631	314	364	304	385	357	119	220	300	333	184
YJL026C-A	X	393066	393287	-	222	0	0	0	2	0	0	0	4	0	4	1	0	0	0	2	0	4	0
tE(UUC)J	X	115939	116010	-	72	133	175	145	77	157	113	83	110	151	77	113	38	37	113	75	83	76	88
YJR126C	X	656254	658689	-	2436	2799	4208	3034	3236	2861	2587	2674	3669	2851	3528	4146	6220	3801	1809	3995	3425	5615	2649
tL(UAA)J	X	424432	424515	-	84	11	11	9	7	26	18	20	21	13	14	13	13	28	15	12	14	11	13
tG(GCC)J1	X	396726	396796	-	71	7	3	1	0	3	4	5	7	3	2	0	1	6	3	2	0	2	4
YJL005W	X	425157	431237	+	6081	3093	2838	1912	2628	2141	2021	2539	4391	2862	4327	4542	9063	3707	1094	3911	3358	4373	2443
YJL206C	X	47659	49935	-	2277	353	452	252	539	302	228	277	381	318	515	535	860	514	235	431	347	604	302
YJL100W	X	237263	239086	+	1824	562	593	503	800	428	507	461	740	585	1071	963	2353	820	277	1132	642	1299	729
